zip_code,Year,Pandemic,ACS_PCT_HH_ABOVE65_ZC,CCBP_TOT_CHS_ZP,CCBP_TOT_CS_ZP,CCBP_TOT_FF_ZP,CCBP_TOT_FSR_ZP,CCBP_TOT_RET_ZP,drive_time_hospital_min,green_coverage_pct,healthcare_facilities_per_10k_older_adults,pct_asian_60_plus,pct_black_60_plus,pct_disabled_60_plus,pct_hispanic_60_plus,pct_limited_english_60_plus,pct_no_computer,pct_no_internet,pct_pop_60_plus,pct_snap_households_60_plus,pct_white_non_hispanic_60_plus,senior_households_total,transit_coverage_pct,qol_composite_index
94024,2019,0,0.810275,0.015825,-0.550272,-0.906134,-0.940045,0.893815,0.281181,-0.539198,-0.161213,-0.08736,-0.722829,0.434356,-0.913525,1.045056,0.4099,0.466338,0.955502,0.897312,2.481953,-0.123551,-0.68797,1.082298
94024,2020,1,0.76985,0.115554,-0.535221,-0.906134,-0.940045,0.797386,0.281181,-0.539198,-0.161213,-0.08736,-0.722829,0.434356,-0.913525,1.045056,0.438633,0.541829,0.943325,0.929574,2.481953,-0.171807,-0.68797,1.194309
94024,2021,1,0.834003,0.151753,-0.493745,-0.951365,-0.940045,0.8777,0.281181,-0.539198,-0.161213,-0.08736,-0.722829,0.434356,-0.913525,1.045056,0.4099,0.560702,1.124856,0.923642,2.481953,-0.056616,-0.68797,1.221056
94024,2022,1,0.971975,0.094313,-0.638501,-0.996596,-0.97819,0.827235,0.281181,-0.539198,-0.161213,-0.08736,-0.722829,0.434356,-0.913525,1.045056,0.467366,0.636192,1.284072,0.906888,2.481953,0.002535,-0.68797,1.181494
94024,2023,0,1.055461,-0.028449,-0.638501,-1.041828,-0.97819,0.759433,0.281181,-0.539198,-0.161213,-0.126898,-0.845623,0.642639,-0.877313,1.026733,0.725967,0.721119,1.391149,0.917086,2.376887,0.035225,-0.68797,1.022995
94024,2024,0,1.055461,-0.068643,-0.638501,-1.041828,-0.97819,0.712513,0.281181,-0.539198,-0.161213,-0.126898,-0.845623,0.642639,-0.877313,1.026733,0.8409,0.787173,1.208786,0.881499,2.376887,-0.057006,-0.68797,1.072394
94024,2025,0,0.841741,-0.311582,-0.65685,-0.958113,-0.968704,0.827442,0.281181,-0.539198,-0.161213,-0.095337,-0.748377,0.470539,-0.906797,1.04142,0.781786,0.578396,1.165132,0.937852,2.473141,-0.107585,-0.687971,0.499654
94024,2026,0,0.841741,-0.282512,-0.65685,-0.879374,-0.954216,0.834405,0.281181,-0.539198,-0.161213,-0.095337,-0.748377,0.470539,-0.906797,1.04142,0.741807,0.578396,1.132996,0.937852,2.473141,-0.107585,-0.687971,0.458324
94024,2027,0,0.841741,-0.283609,-0.65685,-0.863836,-0.954216,0.832009,0.281181,-0.539198,-0.161213,-0.095337,-0.748377,0.470539,-0.906797,1.04142,0.71477,0.578396,1.109338,0.937852,2.473141,-0.107585,-0.687971,0.433452
94024,2028,0,0.841741,-0.313992,-0.65685,-0.901326,-0.954216,0.819771,0.281181,-0.539198,-0.161213,-0.095337,-0.748377,0.470539,-0.906797,1.04142,0.696486,0.578396,1.091923,0.937852,2.473141,-0.107585,-0.687971,0.418058
94024,2029,0,0.841741,-0.345973,-0.65685,-0.944837,-0.954216,0.80744,0.281181,-0.539198,-0.161213,-0.095337,-0.748377,0.470539,-0.906797,1.04142,0.68412,0.578396,1.079102,0.937852,2.473141,-0.107585,-0.687971,0.408261
94028,2015,0,1.428951,-0.060666,-1.371373,-1.087059,-0.97819,-0.906965,-0.031734,0.259294,-0.203803,-0.048339,-0.051186,-0.821596,-0.191511,0.026953,-0.586256,0.970627,2.31416,1.020492,0.842373,-1.012774,-1.464667,-2.505608
94028,2016,0,1.795411,-0.092777,-1.486325,-1.087059,-0.863755,-0.906965,-0.031734,0.259294,-0.203803,-0.074825,-0.145851,-0.452198,-0.250695,0.010785,-0.463911,1.086988,2.157801,1.020492,0.757403,-1.016666,-1.464667,-2.145632
94028,2017,0,1.623166,-0.266501,-1.242078,-1.041828,-0.9019,-0.018945,-0.031734,0.259294,-0.203803,-0.030183,-0.179743,-0.369248,-0.183688,0.187189,0.237499,0.239867,1.800071,1.020492,0.631043,-1.058306,-1.464667,-0.978009
94028,2018,0,1.937777,-0.311128,-1.35627,-1.041828,-0.97819,0.029241,-0.031734,0.259294,-0.203803,-0.081516,-0.216387,-0.281041,-0.141143,0.12845,0.381166,0.239867,1.896919,1.020492,0.437532,-1.042739,-1.464667,-0.929403
94028,2019,0,1.899988,-0.33457,-1.456461,-1.041828,-1.016335,-0.219099,-0.031734,0.259294,-0.203803,-0.032763,-0.248215,0.184562,-0.181024,0.233336,0.4961,0.466338,1.71519,1.020492,0.320315,-1.06103,-1.464667,-0.816812
94028,2020,1,2.737486,-0.779639,-1.942587,-1.874957,-1.289004,-0.030399,-0.031734,0.259294,-0.203803,0.106661,-0.311955,0.165999,-0.220905,0.315051,0.4099,0.419157,2.956497,1.020492,-0.003122,-0.971913,-1.464667,-1.511415
94028,2021,1,2.657515,-0.800109,-1.907641,-1.895934,-1.322444,-0.052376,-0.031734,0.259294,-0.203803,0.079328,-0.234709,0.288765,-0.233492,0.377718,0.553567,0.43803,2.935555,0.885289,0.005544,-0.986701,-1.464667,-1.478572
94028,2022,1,2.743637,-0.648196,-1.709779,-1.72304,-1.016335,-0.002892,-0.031734,0.259294,-0.203803,-0.057432,-0.262365,0.289411,-0.267255,0.351278,0.8409,0.560702,3.075385,0.710115,-0.219081,-0.919766,-1.464667,-1.354093
94028,2023,0,2.922913,0.05717,-1.434288,-1.041828,-0.539585,0.048349,-0.031734,0.259294,-0.203803,-0.053151,-0.307697,0.653082,-0.170978,0.346287,0.8409,0.58901,3.46664,0.669338,-0.248337,-0.907313,-1.464667,-1.284002
94028,2024,0,2.922913,0.124722,-1.403103,-1.041828,-0.426278,0.01606,-0.031734,0.259294,-0.203803,-0.102644,-0.268085,0.686489,-0.242466,0.330464,0.8409,0.617319,3.65384,0.575226,-0.36072,-0.910037,-1.464667,-1.372243
94028,2025,0,2.752584,-0.526003,-1.935582,-1.048318,-0.994861,-0.906966,-0.031734,0.259294,-0.203803,-0.029521,-0.240559,0.598841,-0.208376,0.305901,0.790624,0.57331,3.241881,0.550298,-0.316154,-0.988805,-1.464667,-2.552003
94028,2026,0,2.62366,-0.614948,-1.907418,-1.05107,-0.974169,-0.906966,-0.031734,0.259294,-0.203803,-0.029521,-0.226451,0.521986,-0.208376,0.286254,0.748368,0.538985,3.006338,0.583246,-0.274931,-0.988805,-1.464667,-2.507283
94028,2027,0,2.526076,-0.65779,-1.889766,-1.05107,-0.971352,-0.906966,-0.031734,0.259294,-0.203803,-0.029521,-0.219226,0.454578,-0.208376,0.27055,0.712853,0.512212,2.871664,0.654492,-0.236798,-0.988805,-1.464667,-2.473996
94028,2028,0,2.452213,-0.675707,-1.88179,-1.05107,-0.985137,-0.906966,-0.031734,0.259294,-0.203803,-0.029521,-0.215527,0.395465,-0.208376,0.257988,0.683002,0.491331,2.794663,0.741784,-0.201532,-0.988805,-1.464667,-2.446931
94028,2029,0,2.396306,-0.680197,-1.876609,-1.05107,-1.000667,-0.906966,-0.031734,0.259294,-0.203803,-0.029521,-0.213635,0.343617,-0.208376,0.24794,0.657914,0.475044,2.750637,0.824998,-0.168911,-0.988805,-1.464667,-2.424917
94040,2015,0,-0.646777,0.21772,-0.271543,0.179417,0.128012,-0.584846,0.457826,-0.736804,-0.098117,-0.048339,-0.051186,-0.821596,-0.191511,0.026953,-0.277725,0.524901,-0.757628,0.579595,0.842373,-0.276101,0.875941,0.23373
94040,2016,0,-0.606352,0.531156,-0.088064,0.496036,0.242447,-0.584846,0.457826,-0.736804,-0.098117,-0.074825,-0.145851,-0.452198,-0.250695,0.010785,-0.153979,0.646471,-0.655595,0.760967,0.757403,-0.199437,0.875941,0.337207
94040,2017,0,-0.65205,0.2347,-0.638501,0.586499,0.433172,0.036532,0.457826,-0.736804,-0.098117,-0.030183,-0.179743,-0.369248,-0.183688,0.187189,-0.423368,0.013396,-0.601039,0.76836,0.631043,-0.157797,0.875941,0.753694
94040,2018,0,-0.642383,0.147929,-0.638501,0.496036,0.395027,0.056933,0.457826,-0.736804,-0.098117,-0.081516,-0.216387,-0.281041,-0.141143,0.12845,-0.136035,0.013396,-0.555979,0.698381,0.437532,-0.107596,0.875941,0.956607
94040,2019,0,-0.737293,0.218367,-0.455022,0.450805,0.242447,-0.061067,0.457826,-0.736804,-0.098117,-0.032763,-0.248215,0.184562,-0.181024,0.233336,0.093833,0.07945,-0.604,0.700245,0.320315,-0.139896,0.875941,1.006737
94040,2020,1,-0.61514,0.415161,-0.455022,0.405574,0.089868,0.140818,0.457826,-0.736804,-0.098117,0.106661,-0.311955,0.165999,-0.220905,0.315051,-0.107301,0.088886,-0.343488,0.445154,-0.003122,-0.01809,0.875941,1.180351
94040,2021,1,-0.705657,1.02142,0.278894,0.496036,-0.024567,0.139234,0.457826,-0.736804,-0.098117,0.079328,-0.234709,0.288765,-0.233492,0.377718,-0.107301,0.15494,-0.504351,0.376668,0.005544,-0.045331,0.875941,1.576606
94040,2022,1,-0.716202,0.984216,0.278894,0.450805,0.013578,0.101738,0.457826,-0.736804,-0.098117,-0.057432,-0.262365,0.289411,-0.267255,0.351278,0.122566,0.25874,-0.443897,0.052864,-0.219081,-0.021203,0.875941,1.653004
94040,2023,0,-0.704778,1.378028,0.829332,0.63173,-0.139002,0.091316,0.457826,-0.736804,-0.098117,-0.053151,-0.307697,0.653082,-0.170978,0.346287,0.180033,0.33423,-0.342935,-0.076535,-0.248337,0.042229,0.875941,1.444002
94040,2024,0,-0.704778,1.373457,0.829332,0.63173,-0.139002,0.085658,0.457826,-0.736804,-0.098117,-0.102644,-0.268085,0.686489,-0.242466,0.330464,0.3237,0.419157,-0.248437,-0.302729,-0.36072,0.076475,0.875941,1.424208
94040,2025,0,-0.673141,0.595748,-0.031355,0.482338,0.050809,-0.584848,0.457826,-0.736804,-0.098117,-0.029521,-0.240559,0.598841,-0.208376,0.305901,0.188626,0.443827,-0.505932,-0.218323,-0.316154,0.015808,0.875941,0.859976
94040,2026,0,-0.673141,0.58806,-0.031355,0.482338,0.275602,-0.584848,0.457826,-0.736804,-0.098117,-0.029521,-0.226451,0.521986,-0.208376,0.286254,0.096604,0.420399,-0.505932,-0.145437,-0.274931,-0.02202,0.875941,0.853316
94040,2027,0,-0.673141,0.586677,-0.031355,0.482338,0.376723,-0.584848,0.457826,-0.736804,-0.098117,-0.029521,-0.219226,0.454578,-0.208376,0.27055,0.03391,0.364901,-0.505932,-0.082499,-0.236798,-0.045607,0.875941,0.858886
94040,2028,0,-0.673141,0.614724,-0.031355,0.482338,0.300952,-0.584848,0.457826,-0.736804,-0.098117,-0.029521,-0.215527,0.395465,-0.208376,0.257988,-0.008801,0.293863,-0.505932,-0.028152,-0.201532,-0.060314,0.875941,0.874572
94040,2029,0,-0.673141,0.65959,-0.031355,0.482338,0.123259,-0.584848,0.457826,-0.736804,-0.098117,-0.029521,-0.213635,0.343617,-0.208376,0.24794,-0.0379,0.221763,-0.505932,0.018777,-0.168911,-0.069484,0.875941,0.892665
94041,2015,0,-0.956115,-0.58352,-0.455022,-0.77044,0.738331,-0.671089,0.46792,-0.793263,-0.146179,-0.048339,-0.051186,-0.821596,-0.191511,0.026953,-0.550542,-0.557401,-0.793933,0.739865,0.842373,-1.080098,1.218991,-0.305471
94041,2016,0,-1.1723,-0.58352,-0.455022,-0.725209,0.776476,-0.721099,0.46792,-0.793263,-0.146179,-0.074825,-0.145851,-0.452198,-0.250695,0.010785,-0.629946,-0.57626,-0.872378,0.552798,0.757403,-1.084768,1.218991,-0.287338
94041,2017,0,-1.130118,-0.461389,-0.638501,-0.634746,0.929055,-1.137897,0.46792,-0.793263,-0.146179,-0.030183,-0.179743,-0.369248,-0.183688,0.187189,0.036366,0.051141,-0.756667,0.344058,0.631043,-1.064921,1.218991,0.023206
94041,2018,0,-0.973691,-0.627481,-0.638501,-0.77044,0.852766,-1.060108,0.46792,-0.793263,-0.146179,-0.081516,-0.216387,-0.281041,-0.141143,0.12845,0.438633,0.032268,-0.579808,0.502921,0.437532,-0.99643,1.218991,0.096216
94041,2019,0,-0.808476,-0.614309,-0.638501,-0.815671,0.814621,-1.125538,0.46792,-0.793263,-0.146179,-0.032763,-0.248215,0.184562,-0.181024,0.233336,0.639767,0.192685,-0.459936,0.266069,0.320315,-0.947785,1.218991,0.132086
94041,2020,1,-1.06245,-0.459189,-0.638501,-0.725209,0.776476,-1.473161,0.46792,-0.793263,-0.146179,0.106661,-0.311955,0.165999,-0.220905,0.315051,0.725967,0.51352,-0.720504,0.637211,-0.003122,-1.052857,1.218991,0.272932
94041,2021,1,-0.793537,-0.358012,-0.536134,-0.679977,0.547606,-1.282723,0.46792,-0.793263,-0.146179,0.079328,-0.234709,0.288765,-0.233492,0.377718,0.697233,0.447466,-0.7029,0.833517,0.005544,-0.985923,1.218991,0.345859
94041,2022,1,-0.789143,-0.458636,-0.597347,-0.725209,0.662041,-1.328821,0.46792,-0.793263,-0.146179,-0.057432,-0.262365,0.289411,-0.267255,0.351278,0.639767,0.428593,-0.754493,1.020492,-0.219081,-0.975415,1.218991,0.351356
94041,2023,0,-0.84978,-0.549862,-0.723878,-0.77044,0.547606,-1.528233,0.46792,-0.793263,-0.146179,-0.053151,-0.307697,0.653082,-0.170978,0.346287,0.639767,0.428593,-0.981803,1.020492,-0.248337,-1.049355,1.218991,0.408155
94041,2024,0,-0.84978,-0.508966,-0.790698,-0.77044,0.547606,-1.550668,0.46792,-0.793263,-0.146179,-0.102644,-0.268085,0.686489,-0.242466,0.330464,0.381166,0.428593,-0.881557,1.020492,-0.36072,-1.021725,1.218991,0.253511
94041,2025,0,-0.938539,-0.583524,-0.612174,-0.738778,0.719377,-1.452326,0.46792,-0.793263,-0.146179,-0.029521,-0.240559,0.598841,-0.208376,0.305901,0.227307,0.391551,-0.750119,0.693707,-0.316154,-1.025918,1.218991,0.002089
94041,2026,0,-0.938539,-0.583524,-0.60101,-0.738778,0.719377,-1.420836,0.46792,-0.793263,-0.146179,-0.029521,-0.226451,0.521986,-0.208376,0.286254,0.18613,0.362332,-0.750119,0.693707,-0.274931,-1.025918,1.218991,-0.02059
94041,2027,0,-0.938539,-0.583524,-0.60101,-0.738778,0.719377,-1.399587,0.46792,-0.793263,-0.146179,-0.029521,-0.219226,0.454578,-0.208376,0.27055,0.224865,0.339286,-0.750119,0.693707,-0.236798,-1.025918,1.218991,-0.042524
94041,2028,0,-0.938539,-0.583524,-0.60101,-0.738778,0.719377,-1.383164,0.46792,-0.793263,-0.146179,-0.029521,-0.215527,0.395465,-0.208376,0.257988,0.297697,0.321107,-0.750119,0.693707,-0.201532,-1.025918,1.218991,-0.062172
94041,2029,0,-0.938539,-0.583524,-0.60101,-0.738778,0.719377,-1.369715,0.46792,-0.793263,-0.146179,-0.029521,-0.213635,0.343617,-0.208376,0.24794,0.366372,0.306768,-0.750119,0.693707,-0.168911,-1.025918,1.218991,-0.079055
94043,2015,0,-0.816386,0.203194,-0.271543,0.179417,-0.291582,-0.906965,0.195381,-0.293646,-0.193177,-0.048339,-0.051186,-0.821596,-0.191511,0.026953,-0.878654,0.728731,-0.570843,0.502511,0.842373,-0.285441,0.147428,-0.943947
94043,2016,0,-0.707414,0.124725,-0.271543,0.088954,-0.406016,-0.906965,0.195381,-0.293646,-0.193177,-0.074825,-0.145851,-0.452198,-0.250695,0.010785,-0.956815,0.723906,-0.541067,0.399376,0.757403,-0.263259,0.147428,-1.147206
94043,2017,0,-0.761021,-0.228677,-0.455022,0.134186,-0.482306,0.189356,0.195381,-0.293646,-0.193177,-0.030183,-0.179743,-0.369248,-0.183688,0.187189,-0.049834,-0.052659,-0.586532,0.128395,0.631043,-0.269485,0.147428,0.009719
94043,2018,0,-0.750475,-0.097386,0.095415,0.043723,-0.520451,0.06463,0.195381,-0.293646,-0.193177,-0.081516,-0.216387,-0.281041,-0.141143,0.12845,0.180033,0.107759,-0.616288,0.066963,0.437532,-0.239131,0.147428,-0.162485
94043,2019,0,-0.667868,-0.307796,-0.088064,-0.137202,-0.367871,-0.058826,0.195381,-0.293646,-0.193177,-0.032763,-0.248215,0.184562,-0.181024,0.233336,0.180033,0.15494,-0.585016,-0.073408,0.320315,-0.217727,0.147428,-0.153113
94043,2020,1,-0.664353,0.223062,0.2328,0.326868,0.405138,-0.016132,0.195381,-0.293646,-0.193177,0.106661,-0.311955,0.165999,-0.220905,0.315051,0.151299,0.220994,-0.468201,0.142244,-0.003122,-0.180757,0.147428,0.288534
94043,2021,1,-0.657323,0.321253,0.279736,0.408653,0.500017,-0.103269,0.195381,-0.293646,-0.193177,0.079328,-0.234709,0.288765,-0.233492,0.377718,0.180033,0.400284,-0.452764,0.208981,0.005544,-0.111098,0.147428,0.340248
94043,2022,1,-0.599322,0.397984,0.332249,0.429959,0.48401,-0.130778,0.195381,-0.293646,-0.193177,-0.057432,-0.262365,0.289411,-0.267255,0.351278,0.294966,0.504084,-0.390172,-0.113851,-0.219081,-0.105261,0.147428,0.349966
